("n_5-euclidean_false", 0.0, 5.868000030517578, 5.86899995803833)
("n_5-euclidean_true", 0.0, 0.4479999542236328, 6.378999948501587)
("n_6-euclidean_false", 0.0, 0.28299999237060547, 6.661999940872192)
("n_6-euclidean_true", 0.0, 0.3940000534057617, 7.055999994277954)
("n_7-euclidean_false", 0.0, 0.2219998836517334, 7.2779998779296875)
("n_7-euclidean_true", 0.0, 1.0500001907348633, 8.32800006866455)
("n_8-euclidean_false", 0.0, 0.557999849319458, 8.885999917984009)
("n_8-euclidean_true", 0.0, 1.0820000171661377, 9.967999935150146)
("n_9-euclidean_false", 0.0, 0.4939999580383301, 10.461999893188477)
("n_9-euclidean_true", 0.0, 7.562000036239624, 18.0239999294281)
("n_10-euclidean_false", 0.0, 1.3880000114440918, 19.411999940872192)
("n_10-euclidean_true", 0.0, 9.245000123977661, 28.657000064849854)
("n_11-euclidean_false", 0.0, 4.730000019073486, 33.38700008392334)
("n_11-euclidean_true", 0.0, 180.3659999370575, 213.75300002098083)
("n_12-euclidean_false", 0.0, 0.6069998741149902, 214.35999989509583)
("n_12-euclidean_true", 0.0, 223.94400000572205, 438.30399990081787)
("n_13-euclidean_false", 0.0, 2.680000066757202, 440.9839999675751)
("n_13-euclidean_true", 0.0, 185.643000125885, 626.6270000934601)
("n_14-euclidean_false", 0.0, 205.05999994277954, 831.6870000362396)
("n_14-euclidean_true", 0.18492975664919364, 180.04100012779236, 1011.7290000915527)
("n_15-euclidean_false", 0.0, 0.6059999465942383, 1012.335000038147)
("n_15-euclidean_true", 0.0, 274.82299995422363, 1287.1579999923706)
("n_16-euclidean_false", 0.1492845420901589, 268.9360001087189, 1556.0940001010895)
("n_16-euclidean_true", 0.0, 236.43099999427795, 1792.5250000953674)
("n_17-euclidean_false", 0.0, 189.3989999294281, 1981.9240000247955)
("n_17-euclidean_true", 0.3671128107074513, 180.08699989318848, 2162.010999917984)
("n_18-euclidean_false", 0.16967734312900873, 234.66200017929077, 2396.673000097275)
("n_18-euclidean_true", 0.3471947767145095, 180.06699991226196, 2576.7400000095367)
("n_19-euclidean_false", 0.3060153256704276, 238.65100002288818, 2815.391000032425)
("n_19-euclidean_true", 0.2451165674603141, 180.06299996376038, 2995.4539999961853)
("n_20-euclidean_false", 0.24662795054319608, 190.1210000514984, 3185.5750000476837)
("n_20-euclidean_true", 0.3763690444450332, 180.11699986457825, 3365.691999912262)
("n_25-euclidean_false", 0.43889252948875906, 186.29500007629395, 3551.986999988556)
("n_25-euclidean_true", 0.4056242528392063, 180.1159999370575, 3732.1029999256134)
("n_30-euclidean_false", 0.38908804129611946, 180.12400007247925, 3912.2269999980927)
("n_30-euclidean_true", 0.5672739780313607, 180.09999990463257, 4092.326999902725)
("n_35-euclidean_false", 0.41814873672804204, 285.92500019073486, 4378.25200009346)
("n_35-euclidean_true", 0.625052264243291, 180.0699999332428, 4558.322000026703)
("n_40-euclidean_false", 0.6172325739067385, 180.11899995803833, 4738.440999984741)
("n_40-euclidean_true", 0.3990745267034647, 182.74500012397766, 4921.186000108719)
("n_45-euclidean_false", 0.3448976731145303, 180.69599986076355, 5101.881999969482)
("n_45-euclidean_true", 0.6099173285257147, 183.52300000190735, 5285.40499997139)
("n_50-euclidean_false", 0.2750643237637382, 180.62800002098083, 5466.032999992371)
("n_50-euclidean_true", 0.41104734273370996, 183.31299996376038, 5649.345999956131)
("n_55-euclidean_false", 0.315884940957395, 181.14100003242493, 5830.486999988556)
("n_55-euclidean_true", 0.4796596557794867, 180.61800003051758, 6011.1050000190735)
("n_60-euclidean_false", 0.5849406942067618, 180.44400000572205, 6191.5490000247955)
("n_60-euclidean_true", 0.6331118026486332, 180.66899991035461, 6372.21799993515)
("n_65-euclidean_false", 0.6852999686718704, 180.81100010871887, 6553.029000043869)
("n_65-euclidean_true", 0.630616004836884, 190.16299986839294, 6743.191999912262)
("n_70-euclidean_false", 0.9000823047579505, 180.44700002670288, 6923.638999938965)
("n_70-euclidean_true", 0.36523213619560774, 180.68099999427795, 7104.319999933243)
("n_75-euclidean_false", 0.5333473495359092, 181.62800002098083, 7285.947999954224)
("n_75-euclidean_true", 0.6065228037728829, 185.04299998283386, 7470.9909999370575)
("n_80-euclidean_false", 0.5641920562711118, 181.34400010108948, 7652.335000038147)
("n_80-euclidean_true", 0.5313842990217547, 187.32699990272522, 7839.661999940872)
("n_85-euclidean_false", 0.8795789328031122, 180.5789999961853, 8020.2409999370575)
("n_85-euclidean_true", 0.37002306666833756, 180.39400005340576, 8200.634999990463)
("n_90-euclidean_false", 0.7393431167014909, 180.55999994277954, 8381.194999933243)
("n_90-euclidean_true", 0.7893198202499291, 180.5329999923706, 8561.727999925613)
("n_95-euclidean_false", 0.7038327526131177, 181.0460000038147, 8742.773999929428)
("n_95-euclidean_true", 0.7648798907506035, 183.97500014305115, 8926.74900007248)
("n_100-euclidean_false", 0.8727134146340798, 180.5519998073578, 9107.300999879837)
("n_100-euclidean_true", 0.46147509079767507, 180.38900017738342, 9287.69000005722)
